                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8489,                 5.4753,                 1.4028,                0.24156,                0.16175,                0.11961,                0.06549,                 1.5436,                 3.2143,                 1.2082,              9.742e-05,              9.742e-05,              9.742e-05
                      2,                 1.5715,                 4.1564,                 1.2207,                 0.2902,                0.29317,                0.28476,                0.15536,                 1.6352,                 2.6322,                 1.3023,             0.00019349,             0.00019349,             0.00019349
                      3,                 1.5379,                 3.5056,                  1.233,                0.31513,                0.40141,                0.41477,                0.22308,                 1.6345,                 2.2642,                 1.3448,             0.00028761,             0.00028761,             0.00028761
                      4,                 1.5179,                 3.0718,                 1.2431,                0.46545,                 0.5433,                0.53509,                0.29229,                 1.5708,                 2.0284,                 1.3354,             0.00028527,             0.00028527,             0.00028527
                      5,                 1.4822,                 2.7054,                 1.2272,                0.43694,                0.56551,                0.57835,                0.31537,                 1.5268,                 1.8496,                 1.3094,             0.00028236,             0.00028236,             0.00028236
                      6,                 1.4404,                 2.4301,                 1.2103,                0.56353,                0.60986,                0.61591,                0.32863,                 1.5445,                 1.7395,                 1.3138,             0.00027945,             0.00027945,             0.00027945
                      7,                 1.4342,                 2.1701,                 1.2013,                0.56545,                0.59476,                0.63713,                0.34298,                 1.5934,                 1.7109,                 1.3489,             0.00027654,             0.00027654,             0.00027654
                      8,                 1.3989,                 1.9718,                 1.1938,                0.62336,                0.67009,                0.68581,                0.37114,                 1.5558,                 1.6441,                 1.3079,             0.00027363,             0.00027363,             0.00027363
                      9,                 1.3618,                 1.8432,                 1.1783,                0.70102,                0.59975,                0.70303,                0.38866,                 1.5466,                 1.5512,                 1.3087,             0.00027072,             0.00027072,             0.00027072
                     10,                 1.3411,                 1.7124,                 1.1666,                0.70236,                 0.7062,                0.76228,                0.40743,                 1.6085,                 1.3824,                 1.3645,              0.0002678,              0.0002678,              0.0002678
                     11,                 1.3342,                 1.6202,                 1.1627,                 0.7479,                0.66191,                0.75192,                0.40739,                 1.6703,                 1.4492,                  1.409,             0.00026489,             0.00026489,             0.00026489
                     12,                 1.3194,                 1.5393,                 1.1655,                0.73272,                 0.6589,                0.75577,                0.40975,                 1.6012,                 1.4671,                 1.3405,             0.00026198,             0.00026198,             0.00026198
                     13,                 1.3055,                  1.443,                 1.1549,                 0.6786,                0.70938,                0.74286,                0.40021,                 1.5976,                 1.4773,                 1.3421,             0.00025907,             0.00025907,             0.00025907
                     14,                 1.2946,                 1.4161,                 1.1444,                0.77252,                0.66952,                0.75389,                0.41162,                 1.6088,                 1.4831,                  1.357,             0.00025616,             0.00025616,             0.00025616
                     15,                 1.2508,                 1.3236,                 1.1262,                0.73362,                0.74267,                0.78233,                0.40567,                 1.6588,                 1.4033,                 1.3669,             0.00025325,             0.00025325,             0.00025325
                     16,                 1.2452,                 1.2832,                 1.1335,                0.81464,                0.67812,                0.74937,                0.39829,                 1.6151,                  1.534,                 1.3625,             0.00025034,             0.00025034,             0.00025034
                     17,                 1.2076,                 1.2253,                 1.1126,                0.78906,                 0.7311,                0.79547,                0.43541,                  1.639,                 1.2862,                 1.3917,             0.00024743,             0.00024743,             0.00024743
                     18,                 1.2017,                 1.2032,                 1.1049,                0.77248,                0.67531,                0.77301,                0.40893,                 1.6449,                 1.4166,                 1.3874,             0.00024452,             0.00024452,             0.00024452
                     19,                 1.1986,                 1.1463,                 1.1119,                0.79497,                0.67357,                 0.7673,                0.43868,                  1.623,                   1.38,                 1.4032,             0.00024161,             0.00024161,             0.00024161
                     20,                 1.2005,                 1.1401,                 1.1101,                0.74849,                0.73328,                0.78137,                0.42901,                 1.6506,                 1.3472,                 1.4064,              0.0002387,              0.0002387,              0.0002387
                     21,                 1.1651,                 1.0978,                 1.0895,                0.83168,                0.72329,                0.80162,                0.43415,                 1.6348,                 1.2736,                 1.3961,             0.00023579,             0.00023579,             0.00023579
                     22,                 1.1614,                  1.045,                 1.0847,                0.82224,                0.71071,                0.80092,                0.44831,                 1.5782,                 1.3529,                 1.3445,             0.00023288,             0.00023288,             0.00023288
                     23,                 1.1553,                 1.0474,                 1.0953,                0.85159,                0.68859,                0.80494,                0.43399,                 1.6226,                 1.3437,                  1.367,             0.00022997,             0.00022997,             0.00022997
                     24,                 1.1386,                 1.0207,                 1.0701,                0.76295,                0.71163,                0.77318,                 0.4267,                 1.6467,                 1.3591,                 1.3809,             0.00022706,             0.00022706,             0.00022706
                     25,                 1.1257,                 1.0053,                 1.0716,                0.76247,                0.70383,                0.77766,                0.41851,                 1.6369,                 1.3406,                 1.3932,             0.00022415,             0.00022415,             0.00022415
                     26,                 1.1191,                0.96319,                 1.0707,                0.80763,                0.73025,                0.82114,                0.44534,                 1.6257,                 1.2388,                 1.3762,             0.00022123,             0.00022123,             0.00022123
                     27,                  1.118,                0.96654,                  1.069,                0.79823,                0.73166,                0.79652,                 0.4439,                 1.5822,                 1.2894,                 1.3759,             0.00021832,             0.00021832,             0.00021832
                     28,                 1.0988,                0.93469,                 1.0614,                0.77366,                 0.7625,                0.79515,                0.42654,                 1.6855,                 1.2896,                 1.4403,             0.00021541,             0.00021541,             0.00021541
                     29,                 1.0845,                0.92725,                 1.0534,                0.80232,                0.73813,                0.81366,                0.44094,                 1.6742,                 1.2582,                 1.4139,              0.0002125,              0.0002125,              0.0002125
                     30,                 1.0667,                0.91059,                 1.0497,                 0.7902,                0.70034,                0.79962,                0.42505,                 1.6619,                 1.3119,                 1.4352,             0.00020959,             0.00020959,             0.00020959
                     31,                 1.0586,                0.88312,                  1.043,                0.80096,                0.74614,                0.80423,                0.44444,                 1.6276,                 1.2303,                 1.3977,             0.00020668,             0.00020668,             0.00020668
                     32,                 1.0578,                 0.8834,                 1.0405,                0.79206,                0.72539,                0.80885,                0.43495,                 1.6724,                 1.2469,                 1.4161,             0.00020377,             0.00020377,             0.00020377
                     33,                  1.042,                0.86553,                 1.0364,                0.80744,                0.70991,                0.79687,                0.42774,                 1.6937,                 1.2442,                 1.4299,             0.00020086,             0.00020086,             0.00020086
