                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8139,                 5.7226,                 1.4561,                 0.3063,                0.30978,                0.29516,                0.15881,                 1.5714,                 2.6872,                 1.3048,              7.368e-05,              7.368e-05,              7.368e-05
                      2,                 1.4883,                 2.7431,                 1.2736,                0.48031,                0.49487,                0.47819,                0.26038,                 1.5693,                 2.1245,                 1.3455,             0.00014622,             0.00014622,             0.00014622
                      3,                 1.4623,                 2.0888,                 1.2815,                0.54067,                0.55589,                0.56906,                0.31412,                 1.5738,                 1.8716,                 1.3914,             0.00021729,             0.00021729,             0.00021729
                      4,                 1.4145,                 1.7141,                 1.2677,                0.60004,                0.54389,                0.61345,                0.32554,                 1.5939,                 1.7835,                 1.4033,             0.00021541,             0.00021541,             0.00021541
                      5,                  1.374,                 1.5114,                 1.2485,                0.66218,                0.59538,                0.65896,                0.35523,                 1.5877,                 1.6946,                 1.3952,             0.00021321,             0.00021321,             0.00021321
                      6,                 1.3275,                 1.3022,                 1.2197,                0.64858,                0.58864,                0.65086,                0.34433,                 1.6175,                 1.6869,                 1.4101,             0.00021101,             0.00021101,             0.00021101
                      7,                 1.2924,                 1.1919,                 1.2053,                0.72181,                0.68339,                0.73682,                0.42042,                 1.5627,                 1.4842,                 1.3694,             0.00020881,             0.00020881,             0.00020881
                      8,                 1.2534,                 1.1154,                 1.1917,                0.66566,                0.65032,                0.70975,                0.39046,                 1.5955,                 1.5299,                 1.4157,             0.00020662,             0.00020662,             0.00020662
                      9,                  1.236,                  1.055,                  1.179,                0.75128,                0.65726,                0.73129,                0.41154,                 1.5645,                 1.4093,                 1.3912,             0.00020442,             0.00020442,             0.00020442
                     10,                 1.2028,                 1.0016,                 1.1599,                0.78243,                 0.6839,                0.76732,                0.43383,                 1.5539,                 1.3597,                 1.3937,             0.00020222,             0.00020222,             0.00020222
                     11,                 1.1774,                0.96161,                 1.1569,                0.71807,                0.71208,                  0.763,                0.42469,                 1.5595,                 1.2834,                 1.3995,             0.00020002,             0.00020002,             0.00020002
                     12,                 1.1565,                0.93506,                  1.147,                0.74383,                0.75921,                0.79942,                0.45296,                 1.5542,                  1.211,                 1.3888,             0.00019782,             0.00019782,             0.00019782
                     13,                 1.1338,                0.89287,                 1.1357,                  0.802,                0.67402,                0.76774,                0.42025,                 1.5984,                 1.3389,                 1.4377,             0.00019563,             0.00019563,             0.00019563
                     14,                 1.1219,                0.86527,                 1.1206,                0.71257,                 0.6949,                0.75068,                0.41421,                 1.5857,                 1.4218,                 1.4092,             0.00019343,             0.00019343,             0.00019343
                     15,                 1.0972,                0.83254,                 1.1141,                 0.7675,                0.70226,                0.76609,                 0.4192,                 1.6255,                  1.245,                 1.4474,             0.00019123,             0.00019123,             0.00019123
                     16,                 1.0797,                0.79173,                  1.102,                0.73085,                0.74002,                0.78867,                0.44545,                 1.5796,                 1.3011,                 1.3967,             0.00018903,             0.00018903,             0.00018903
                     17,                 1.0589,                0.79108,                  1.092,                0.78849,                0.67614,                0.76702,                0.43664,                 1.5584,                  1.292,                 1.4139,             0.00018684,             0.00018684,             0.00018684
                     18,                 1.0448,                0.76575,                 1.0835,                0.78701,                0.68833,                0.76779,                0.43015,                 1.5868,                 1.3653,                 1.4456,             0.00018464,             0.00018464,             0.00018464
                     19,                 1.0329,                0.74216,                 1.0759,                0.73548,                0.71346,                0.77624,                0.43055,                 1.5956,                 1.2847,                 1.4281,             0.00018244,             0.00018244,             0.00018244
                     20,                 1.0218,                0.73812,                 1.0783,                0.76298,                0.72878,                0.79194,                0.44167,                  1.611,                 1.2342,                 1.4626,             0.00018024,             0.00018024,             0.00018024
                     21,                 1.0082,                0.72085,                 1.0701,                0.86358,                0.68967,                0.80089,                 0.4467,                 1.5936,                  1.266,                 1.4122,             0.00017804,             0.00017804,             0.00017804
                     22,                0.98251,                0.69968,                 1.0575,                0.81945,                0.73399,                0.79909,                 0.4427,                 1.5971,                 1.1861,                 1.4744,             0.00017585,             0.00017585,             0.00017585
                     23,                0.97051,                0.68556,                 1.0542,                0.83328,                0.68622,                0.78973,                0.43316,                 1.6099,                 1.3105,                 1.4686,             0.00017365,             0.00017365,             0.00017365
                     24,                0.95894,                0.67365,                 1.0389,                0.79217,                0.77267,                0.82149,                0.44861,                 1.6105,                 1.1881,                 1.4497,             0.00017145,             0.00017145,             0.00017145
                     25,                0.94652,                0.66052,                 1.0398,                0.75221,                 0.7156,                 0.7789,                0.44031,                 1.5639,                 1.2376,                 1.4437,             0.00016925,             0.00016925,             0.00016925
                     26,                0.94444,                0.66218,                 1.0374,                0.76632,                 0.7453,                0.80245,                0.45308,                 1.5792,                 1.1709,                 1.4722,             0.00016705,             0.00016705,             0.00016705
                     27,                0.91929,                0.63071,                 1.0353,                0.77137,                0.73097,                0.79206,                0.43765,                 1.5983,                 1.2566,                 1.4908,             0.00016486,             0.00016486,             0.00016486
                     28,                 0.9024,                0.62565,                 1.0261,                0.79358,                0.73486,                0.79406,                 0.4392,                 1.6142,                 1.2105,                 1.4683,             0.00016266,             0.00016266,             0.00016266
                     29,                0.89513,                0.62106,                 1.0158,                 0.7382,                0.73566,                0.79176,                0.44342,                 1.5792,                 1.2439,                 1.4629,             0.00016046,             0.00016046,             0.00016046
                     30,                0.88813,                0.61836,                 1.0158,                 0.8185,                0.73792,                0.80176,                0.45058,                 1.5738,                  1.118,                 1.4449,             0.00015826,             0.00015826,             0.00015826
                     31,                0.88344,                0.59912,                 1.0078,                0.78439,                0.70236,                0.77553,                0.42515,                 1.5985,                 1.2837,                 1.4627,             0.00015607,             0.00015607,             0.00015607
                     32,                0.87632,                0.60146,                 1.0065,                0.78347,                0.72437,                0.79852,                0.44818,                 1.5842,                 1.1972,                 1.4551,             0.00015387,             0.00015387,             0.00015387
                     33,                 0.8603,                0.59981,                  1.003,                0.79113,                0.72261,                0.77362,                0.43186,                 1.6128,                 1.2237,                 1.4803,             0.00015167,             0.00015167,             0.00015167
                     34,                0.85467,                0.57837,                  1.004,                0.77535,                0.73359,                0.79939,                0.43331,                 1.6319,                 1.2471,                 1.4961,             0.00014947,             0.00014947,             0.00014947
                     35,                0.83566,                0.57316,                0.99419,                0.78493,                0.71151,                0.77617,                 0.4367,                 1.5888,                 1.2876,                 1.4856,             0.00014727,             0.00014727,             0.00014727
                     36,                0.84014,                0.56391,                0.98944,                0.76525,                0.72877,                0.79233,                0.44647,                 1.6003,                 1.1923,                 1.4868,             0.00014508,             0.00014508,             0.00014508
                     37,                0.81698,                0.54857,                0.99005,                0.78055,                0.71538,                0.78585,                0.43614,                 1.5733,                 1.2168,                 1.4667,             0.00014288,             0.00014288,             0.00014288
                     38,                0.81893,                0.55378,                0.98859,                0.78827,                0.71368,                0.77827,                0.43208,                 1.6351,                 1.2381,                 1.4912,             0.00014068,             0.00014068,             0.00014068
                     39,                 0.8191,                0.55056,                0.98753,                0.79987,                0.72518,                0.78741,                0.43631,                 1.6158,                 1.1799,                 1.4959,             0.00013848,             0.00013848,             0.00013848
                     40,                0.79273,                 0.5299,                0.97687,                 0.8156,                0.73369,                0.81176,                0.45124,                 1.5986,                 1.1327,                 1.5116,             0.00013629,             0.00013629,             0.00013629
                     41,                0.79501,                0.52632,                0.97959,                0.80775,                0.73776,                0.79848,                0.44413,                  1.594,                  1.221,                 1.4866,             0.00013409,             0.00013409,             0.00013409
                     42,                   0.78,                0.51172,                0.96732,                0.77207,                0.72724,                0.78523,                0.44226,                 1.6032,                  1.193,                 1.4929,             0.00013189,             0.00013189,             0.00013189
                     43,                0.77381,                0.52199,                0.96807,                0.84093,                0.73064,                0.79142,                0.43464,                 1.6326,                 1.1844,                 1.5322,             0.00012969,             0.00012969,             0.00012969
                     44,                 0.7655,                0.51305,                0.96743,                 0.8281,                 0.7455,                0.80307,                0.44935,                 1.6009,                 1.1527,                 1.5118,             0.00012749,             0.00012749,             0.00012749
                     45,                0.76952,                 0.5155,                0.96767,                0.82821,                0.74473,                0.79338,                0.44633,                 1.5968,                 1.1447,                 1.4883,              0.0001253,              0.0001253,              0.0001253
                     46,                0.75388,                0.49879,                0.95657,                0.81432,                0.74673,                0.79542,                0.43788,                 1.6196,                 1.2187,                 1.5029,              0.0001231,              0.0001231,              0.0001231
                     47,                0.74547,                0.50872,                 0.9543,                0.81969,                0.69224,                  0.773,                0.42702,                 1.5965,                 1.2768,                 1.5058,              0.0001209,              0.0001209,              0.0001209
                     48,                0.74445,                0.49086,                0.95212,                0.79119,                0.71419,                0.79463,                0.43756,                 1.6071,                 1.2164,                 1.5265,              0.0001187,              0.0001187,              0.0001187
                     49,                 0.7375,                 0.4865,                0.95316,                0.78856,                0.74527,                0.78944,                0.44206,                   1.62,                 1.1551,                  1.515,             0.00011651,             0.00011651,             0.00011651
                     50,                0.72428,                0.48052,                0.94935,                0.79809,                0.69983,                0.77834,                0.43149,                  1.623,                 1.2041,                 1.5306,             0.00011431,             0.00011431,             0.00011431
                     51,                0.73213,                0.48787,                 0.9511,                0.74359,                0.75755,                0.79112,                0.43507,                 1.6204,                 1.1759,                 1.5324,             0.00011211,             0.00011211,             0.00011211
                     52,                0.70773,                 0.4692,                0.94016,                0.81815,                0.71183,                0.78428,                0.43006,                 1.6518,                 1.2026,                 1.5614,             0.00010991,             0.00010991,             0.00010991
