                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7753,                 5.6589,                 1.3617,                0.21489,                0.12154,                 0.0915,                0.04455,                 1.5663,                 3.4849,                 1.1976,              7.368e-05,              7.368e-05,              7.368e-05
                      2,                 1.5514,                 4.3753,                  1.205,                0.24281,                0.26724,                0.22826,                0.12114,                 1.6179,                 2.9169,                 1.2603,             0.00014622,             0.00014622,             0.00014622
                      3,                 1.5289,                 3.7869,                 1.2088,                 0.2942,                0.38654,                0.33783,                0.18252,                 1.5655,                 2.5368,                 1.2548,             0.00021729,             0.00021729,             0.00021729
                      4,                 1.4671,                 3.3067,                 1.1861,                0.31799,                 0.4648,                0.41329,                0.22428,                 1.5225,                 2.3632,                 1.2397,             0.00021541,             0.00021541,             0.00021541
                      5,                 1.4571,                 2.9331,                 1.2008,                0.53149,                 0.5246,                0.52765,                0.27339,                 1.5613,                 2.0677,                 1.2492,             0.00021321,             0.00021321,             0.00021321
                      6,                 1.4157,                 2.6218,                 1.1747,                 0.5901,                0.45929,                 0.5536,                0.28589,                 1.5474,                 2.0336,                 1.2698,             0.00021101,             0.00021101,             0.00021101
                      7,                 1.3961,                 2.3929,                  1.169,                0.60919,                0.57288,                 0.6084,                0.33033,                 1.5174,                 1.8112,                 1.2543,             0.00020881,             0.00020881,             0.00020881
                      8,                 1.3682,                 2.1957,                 1.1665,                0.50707,                0.60277,                0.62071,                0.33366,                 1.5449,                 1.7247,                 1.2818,             0.00020662,             0.00020662,             0.00020662
                      9,                 1.3637,                 2.0217,                 1.1494,                0.64895,                0.57698,                0.63954,                0.34654,                 1.5718,                 1.7779,                 1.2819,             0.00020442,             0.00020442,             0.00020442
                     10,                  1.328,                 1.9053,                 1.1421,                0.60398,                0.60537,                0.64145,                0.34905,                  1.552,                 1.7127,                 1.2729,             0.00020222,             0.00020222,             0.00020222
                     11,                 1.3084,                 1.7745,                 1.1366,                0.70689,                0.62636,                0.68204,                0.37646,                 1.5573,                 1.5591,                 1.2956,             0.00020002,             0.00020002,             0.00020002
                     12,                 1.3024,                 1.6963,                 1.1328,                0.71842,                0.57553,                0.68327,                0.36545,                 1.5685,                 1.5942,                 1.3252,             0.00019782,             0.00019782,             0.00019782
                     13,                 1.2795,                  1.607,                 1.1228,                0.66945,                0.62611,                0.69388,                0.38036,                 1.5437,                 1.6498,                 1.2906,             0.00019563,             0.00019563,             0.00019563
                     14,                 1.2635,                 1.5385,                  1.106,                0.67009,                0.61276,                0.69113,                0.38024,                 1.5375,                 1.6467,                 1.2913,             0.00019343,             0.00019343,             0.00019343
                     15,                 1.2469,                 1.4623,                 1.1005,                0.65909,                0.65008,                0.67837,                0.37119,                  1.563,                 1.5584,                 1.2791,             0.00019123,             0.00019123,             0.00019123
                     16,                 1.2434,                 1.3987,                 1.0936,                0.66695,                0.62519,                0.68561,                0.36642,                 1.5911,                 1.5368,                 1.2954,             0.00018903,             0.00018903,             0.00018903
                     17,                 1.2209,                 1.3596,                 1.0911,                0.72067,                0.62159,                0.69236,                0.39081,                 1.5325,                 1.6034,                 1.2698,             0.00018684,             0.00018684,             0.00018684
                     18,                  1.215,                 1.3031,                 1.0873,                0.67613,                 0.6202,                0.69318,                0.38793,                 1.5434,                 1.5864,                 1.2865,             0.00018464,             0.00018464,             0.00018464
                     19,                 1.1954,                 1.2669,                 1.0764,                0.66398,                0.63961,                0.70915,                0.39674,                  1.554,                 1.4813,                 1.2849,             0.00018244,             0.00018244,             0.00018244
                     20,                 1.1913,                 1.2481,                 1.0803,                0.74004,                0.62377,                0.71399,                 0.3789,                 1.6121,                 1.4985,                 1.3219,             0.00018024,             0.00018024,             0.00018024
                     21,                 1.1779,                 1.2081,                  1.072,                0.64271,                0.68388,                 0.7185,                0.39279,                 1.5946,                  1.459,                 1.3061,             0.00017804,             0.00017804,             0.00017804
                     22,                 1.1612,                 1.1706,                 1.0648,                0.69437,                0.66025,                0.72978,                0.39792,                 1.5843,                 1.4521,                  1.318,             0.00017585,             0.00017585,             0.00017585
                     23,                 1.1518,                 1.1311,                 1.0625,                 0.7429,                0.67446,                0.74892,                0.40281,                 1.6486,                 1.4258,                 1.3434,             0.00017365,             0.00017365,             0.00017365
                     24,                 1.1344,                 1.0978,                 1.0513,                0.71864,                0.64937,                0.72915,                0.39566,                  1.588,                 1.4198,                 1.3192,             0.00017145,             0.00017145,             0.00017145
                     25,                 1.1242,                 1.0747,                 1.0523,                0.69503,                0.68955,                0.74283,                0.40237,                 1.6025,                 1.4257,                 1.3369,             0.00016925,             0.00016925,             0.00016925
                     26,                 1.1163,                 1.0599,                 1.0448,                0.74543,                0.70942,                0.76267,                0.41291,                 1.5822,                 1.3812,                 1.3022,             0.00016705,             0.00016705,             0.00016705
                     27,                 1.1086,                 1.0292,                  1.045,                0.74573,                0.68526,                0.74969,                0.41497,                 1.5758,                 1.3911,                 1.3105,             0.00016486,             0.00016486,             0.00016486
                     28,                 1.0923,                0.99623,                  1.038,                0.70868,                0.65422,                0.72801,                0.40506,                 1.6092,                 1.5123,                 1.3358,             0.00016266,             0.00016266,             0.00016266
