                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1321,                 2.8482,                 1.4471,                0.51903,                0.41841,                0.40734,                0.23102,                 1.2213,                 2.7691,                 1.7117,             0.00030085,             0.00030085,             0.00030085
                      2,                 1.2254,                 1.8756,                  1.487,                0.19907,                0.21542,                0.18142,                0.09157,                 1.5825,                 2.7266,                  2.125,             0.00059787,             0.00059787,             0.00059787
                      3,                 1.2994,                   1.98,                 1.5642,                0.55071,                0.36421,                0.33076,                0.18443,                 1.6706,                 2.5831,                 2.2892,              0.0008889,              0.0008889,              0.0008889
                      4,                 1.3232,                 1.9283,                 1.5812,                0.64908,                0.36338,                0.42255,                0.25792,                  1.443,                 1.8014,                 2.0375,               0.000882,               0.000882,               0.000882
                      5,                 1.2894,                  1.875,                  1.566,                0.40401,                0.48443,                0.46042,                 0.2697,                 1.2776,                  1.592,                 1.8701,               0.000873,               0.000873,               0.000873
                      6,                 1.2459,                 1.7958,                 1.5328,                0.55491,                0.43402,                0.42473,                0.24029,                 1.4381,                 1.8177,                 1.9566,               0.000864,               0.000864,               0.000864
                      7,                 1.2258,                  1.712,                 1.5063,                0.68673,                0.47769,                0.51817,                0.32861,                 1.2115,                 1.6307,                  1.684,             0.00085501,             0.00085501,             0.00085501
                      8,                 1.1997,                 1.6845,                 1.4877,                0.65893,                0.48895,                0.52545,                0.34928,                  1.129,                 1.5556,                 1.6425,             0.00084601,             0.00084601,             0.00084601
                      9,                 1.1515,                 1.5685,                 1.4624,                0.67457,                0.55702,                0.54875,                0.34168,                  1.157,                 1.4487,                 1.6167,             0.00083701,             0.00083701,             0.00083701
                     10,                 1.1512,                 1.5323,                 1.4572,                0.77092,                0.53634,                0.58434,                0.37853,                 1.1835,                 1.4789,                 1.6708,             0.00082801,             0.00082801,             0.00082801
                     11,                 1.1275,                  1.493,                 1.4451,                0.69428,                0.54218,                0.58572,                0.38995,                 1.1547,                 1.3184,                 1.6705,             0.00081901,             0.00081901,             0.00081901
                     12,                    1.1,                 1.3973,                 1.4221,                0.72201,                0.53197,                0.60467,                0.40744,                 1.0634,                 1.3016,                  1.573,             0.00081001,             0.00081001,             0.00081001
                     13,                 1.0918,                 1.4051,                 1.4135,                0.66547,                0.50565,                0.55963,                0.38431,                 1.1452,                 1.2929,                 1.6076,             0.00080101,             0.00080101,             0.00080101
                     14,                 1.0602,                 1.3521,                 1.3852,                0.66784,                0.54687,                0.62487,                0.41013,                 1.1058,                 1.3045,                 1.5892,             0.00079201,             0.00079201,             0.00079201
                     15,                 1.0732,                  1.334,                  1.398,                0.61223,                0.48676,                0.60834,                0.45173,                 1.0262,                 1.3058,                 1.5146,             0.00078301,             0.00078301,             0.00078301
                     16,                  1.056,                 1.3041,                 1.3846,                0.57776,                0.71397,                0.65118,                0.48162,                 1.0026,                 1.1999,                 1.5077,             0.00077401,             0.00077401,             0.00077401
                     17,                 1.0372,                  1.261,                 1.3581,                0.71394,                 0.6225,                0.64952,                0.44163,                 1.0481,                  1.153,                 1.5671,             0.00076501,             0.00076501,             0.00076501
                     18,                 1.0132,                 1.2699,                 1.3563,                0.48246,                0.62704,                0.55965,                0.38127,                  1.043,                 1.2538,                 1.5979,             0.00075602,             0.00075602,             0.00075602
                     19,                0.98754,                 1.2071,                 1.3421,                0.67183,                  0.603,                0.61361,                0.44824,                  1.007,                  1.112,                 1.5098,             0.00074702,             0.00074702,             0.00074702
                     20,                 1.0223,                 1.2094,                 1.3543,                0.75559,                0.55833,                0.60874,                0.40759,                 1.0459,                 1.2053,                  1.582,             0.00073802,             0.00073802,             0.00073802
                     21,                0.97493,                 1.1449,                 1.3255,                0.67242,                0.60663,                0.60961,                0.43557,                0.91871,                 1.1983,                 1.4364,             0.00072902,             0.00072902,             0.00072902
                     22,                0.97143,                 1.1548,                 1.3157,                0.62541,                0.55611,                0.64642,                0.46886,                0.95024,                 1.1126,                 1.4859,             0.00072002,             0.00072002,             0.00072002
                     23,                0.96631,                 1.1041,                  1.315,                 0.6472,                0.56917,                0.61082,                0.41019,                 1.0901,                 1.1996,                 1.5879,             0.00071102,             0.00071102,             0.00071102
                     24,                 0.9429,                 1.0644,                 1.3025,                0.86118,                0.56485,                0.67568,                0.47272,                 0.9365,                 1.0585,                 1.4522,             0.00070202,             0.00070202,             0.00070202
                     25,                0.93577,                 1.0504,                 1.2885,                0.71634,                0.57444,                0.60663,                0.42875,                0.98846,                 1.1426,                 1.4812,             0.00069302,             0.00069302,             0.00069302
                     26,                0.92587,                 1.0458,                 1.2815,                0.71844,                0.65457,                0.68094,                0.47951,                0.97681,                 1.1041,                 1.4864,             0.00068402,             0.00068402,             0.00068402
                     27,                0.91322,                 1.0319,                 1.2819,                0.58515,                0.64431,                0.65035,                0.47728,                0.92827,                 1.0366,                 1.4383,             0.00067502,             0.00067502,             0.00067502
                     28,                0.91591,                 1.0322,                 1.2725,                0.78668,                0.59129,                0.66145,                0.46786,                0.92564,                0.98921,                 1.4309,             0.00066602,             0.00066602,             0.00066602
                     29,                0.90437,                 1.0077,                 1.2631,                0.76613,                0.56932,                0.64193,                 0.4494,                 1.0135,                 1.0675,                 1.5326,             0.00065703,             0.00065703,             0.00065703
                     30,                0.90645,                0.97508,                 1.2694,                0.59128,                0.54254,                 0.5999,                0.44078,                0.95645,                 1.0888,                 1.4889,             0.00064803,             0.00064803,             0.00064803
                     31,                0.89205,                0.95381,                 1.2526,                0.73892,                0.68947,                0.68006,                0.48041,                0.98026,                 1.0754,                 1.5287,             0.00063903,             0.00063903,             0.00063903
                     32,                0.87588,                 0.9504,                 1.2477,                0.74811,                0.55902,                0.68736,                0.50144,                0.96672,                 1.0127,                 1.4884,             0.00063003,             0.00063003,             0.00063003
                     33,                0.86928,                0.90495,                 1.2334,                0.85008,                0.61283,                0.73347,                0.51439,                0.92043,                0.95252,                 1.4821,             0.00062103,             0.00062103,             0.00062103
                     34,                0.86357,                0.90152,                 1.2334,                0.61976,                0.67316,                0.69743,                0.46704,                0.91781,                0.96008,                 1.4619,             0.00061203,             0.00061203,             0.00061203
                     35,                0.84505,                0.89693,                 1.2294,                0.83314,                   0.62,                0.68765,                0.47616,                 0.9344,                0.98564,                 1.4521,             0.00060303,             0.00060303,             0.00060303
                     36,                0.84835,                0.89301,                 1.2252,                0.66782,                0.62529,                0.64139,                 0.4375,                 0.9739,                 1.0953,                  1.491,             0.00059403,             0.00059403,             0.00059403
                     37,                0.83773,                 0.8508,                   1.21,                0.71336,                 0.6423,                0.65476,                0.46618,                0.89255,                0.94481,                 1.3824,             0.00058503,             0.00058503,             0.00058503
                     38,                0.83203,                0.85324,                 1.2058,                0.79567,                0.53543,                0.65785,                0.45993,                0.95895,                 1.0125,                 1.4913,             0.00057603,             0.00057603,             0.00057603
                     39,                0.82322,                0.83355,                 1.2002,                0.72078,                0.64445,                0.63216,                0.45644,                 0.9449,                 1.0165,                 1.4945,             0.00056703,             0.00056703,             0.00056703
                     40,                 0.8175,                0.82456,                  1.197,                0.74832,                0.65986,                0.67947,                0.50535,                0.88364,                0.95808,                 1.4175,             0.00055804,             0.00055804,             0.00055804
                     41,                0.79364,                0.79426,                 1.1847,                0.82521,                0.61203,                0.69683,                0.48092,                 1.0034,                0.92566,                 1.5319,             0.00054904,             0.00054904,             0.00054904
                     42,                0.81094,                0.80013,                 1.1885,                0.73532,                0.60561,                0.63727,                0.44298,                0.90787,                0.99699,                 1.4283,             0.00054004,             0.00054004,             0.00054004
                     43,                0.78719,                 0.7727,                 1.1745,                0.70973,                 0.7158,                0.74126,                0.49728,                0.88401,                0.94944,                   1.39,             0.00053104,             0.00053104,             0.00053104
                     44,                 0.7842,                0.79184,                 1.1703,                0.68092,                0.72011,                0.67811,                0.44961,                0.89347,                 1.0191,                 1.4134,             0.00052204,             0.00052204,             0.00052204
                     45,                0.78196,                0.75342,                 1.1804,                0.73066,                0.65318,                0.65588,                0.46333,                0.92596,                 1.0309,                 1.4499,             0.00051304,             0.00051304,             0.00051304
                     46,                0.76959,                0.74589,                 1.1645,                0.73797,                0.65527,                0.64976,                0.47343,                0.96633,                0.97692,                  1.522,             0.00050404,             0.00050404,             0.00050404
                     47,                 0.7736,                0.74486,                 1.1701,                0.79902,                 0.7219,                0.74176,                0.51034,                0.92109,                0.94262,                 1.4363,             0.00049504,             0.00049504,             0.00049504
                     48,                0.76193,                 0.7434,                 1.1614,                0.74871,                0.56708,                0.68585,                0.48639,                0.94474,                0.97978,                 1.4869,             0.00048604,             0.00048604,             0.00048604
