                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.054,                0.33333,                      1,                 1.0861,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                 1.0498,                    0.5,                      1,                 1.0812,             2.1208e-05,             2.1208e-05,             2.1208e-05
                      3,                 1.1206,                    0.5,                      1,                 1.0746,             3.4993e-05,             3.4993e-05,             3.4993e-05
                      4,                  1.064,                    0.5,                      1,                 1.0683,             4.8496e-05,             4.8496e-05,             4.8496e-05
                      5,                 1.0491,                    0.5,                      1,                 1.0655,             6.1715e-05,             6.1715e-05,             6.1715e-05
                      6,                 1.0386,                    0.5,                      1,                 1.0605,             7.4652e-05,             7.4652e-05,             7.4652e-05
                      7,                0.97067,                    0.5,                      1,                 1.0568,             8.7306e-05,             8.7306e-05,             8.7306e-05
                      8,                0.95576,                    0.5,                      1,                 1.0532,             9.9678e-05,             9.9678e-05,             9.9678e-05
                      9,                0.97252,                    0.5,                      1,                 1.0528,             0.00011177,             0.00011177,             0.00011177
                     10,                0.88053,                    0.5,                      1,                 1.0542,             0.00012357,             0.00012357,             0.00012357
                     11,                0.79452,                    0.5,                      1,                 1.0587,              0.0001351,              0.0001351,              0.0001351
                     12,                0.81416,                0.33333,                      1,                 1.0602,             0.00014634,             0.00014634,             0.00014634
                     13,                0.77153,                0.16667,                      1,                 1.0635,             0.00015729,             0.00015729,             0.00015729
                     14,                0.75844,                0.16667,                      1,                 1.0647,             0.00016797,             0.00016797,             0.00016797
                     15,                0.77854,                0.16667,                      1,                  1.058,             0.00017836,             0.00017836,             0.00017836
                     16,                0.75236,                0.16667,                      1,                  1.061,             0.00018847,             0.00018847,             0.00018847
                     17,                0.67262,                0.33333,                      1,                 1.0647,              0.0001983,              0.0001983,              0.0001983
                     18,                0.68369,                0.33333,                      1,                 1.0641,             0.00020784,             0.00020784,             0.00020784
                     19,                0.64929,                0.33333,                      1,                 1.0636,              0.0002171,              0.0002171,              0.0002171
                     20,                  0.618,                0.33333,                      1,                 1.0558,             0.00022608,             0.00022608,             0.00022608
                     21,                0.61099,                0.33333,                      1,                 1.0504,             0.00023478,             0.00023478,             0.00023478
                     22,                 0.5898,                0.33333,                      1,                 1.0535,             0.00024319,             0.00024319,             0.00024319
                     23,                0.54762,                0.33333,                      1,                  1.055,             0.00025132,             0.00025132,             0.00025132
                     24,                0.50677,                0.33333,                      1,                 1.0654,             0.00025917,             0.00025917,             0.00025917
                     25,                0.47318,                0.33333,                      1,                   1.05,             0.00026673,             0.00026673,             0.00026673
                     26,                0.49107,                0.33333,                      1,                 1.0533,             0.00027402,             0.00027402,             0.00027402
                     27,                0.40217,                0.33333,                      1,                 1.0514,             0.00028101,             0.00028101,             0.00028101
                     28,                0.51682,                0.33333,                      1,                 1.0514,             0.00028773,             0.00028773,             0.00028773
                     29,                 0.3917,                0.33333,                      1,                 1.0506,             0.00029417,             0.00029417,             0.00029417
                     30,                 0.3535,                0.33333,                      1,                 1.0604,             0.00030032,             0.00030032,             0.00030032
                     31,                0.33426,                0.33333,                      1,                 1.0604,             0.00030618,             0.00030618,             0.00030618
                     32,                0.38007,                0.33333,                      1,                 1.0688,             0.00031177,             0.00031177,             0.00031177
                     33,                0.37211,                0.33333,                      1,                 1.0702,             0.00031707,             0.00031707,             0.00031707
                     34,                 0.3101,                0.33333,                      1,                 1.0702,             0.00032209,             0.00032209,             0.00032209
                     35,                 0.3217,                0.33333,                      1,                 1.0743,             0.00032683,             0.00032683,             0.00032683
                     36,                0.29129,                    0.5,                      1,                  1.084,             0.00033129,             0.00033129,             0.00033129
                     37,                0.26312,                    0.5,                      1,                  1.084,             0.00033546,             0.00033546,             0.00033546
                     38,                0.21964,                    0.5,                      1,                 1.0842,             0.00033935,             0.00033935,             0.00033935
                     39,                0.32133,                    0.5,                      1,                 1.0912,             0.00034295,             0.00034295,             0.00034295
                     40,                0.23268,                    0.5,                      1,                 1.0912,             0.00034628,             0.00034628,             0.00034628
                     41,                0.20016,                    0.5,                      1,                  1.092,             0.00034932,             0.00034932,             0.00034932
                     42,                0.20865,                    0.5,                      1,                 1.0959,             0.00035208,             0.00035208,             0.00035208
                     43,                0.17351,                    0.5,                      1,                 1.0959,             0.00035455,             0.00035455,             0.00035455
                     44,                0.18826,                    0.5,                      1,                 1.0928,             0.00035674,             0.00035674,             0.00035674
                     45,                0.15597,                    0.5,                      1,                 1.0928,             0.00035865,             0.00035865,             0.00035865
                     46,                0.14564,                    0.5,                      1,                 1.0899,             0.00036028,             0.00036028,             0.00036028
                     47,                0.14169,                    0.5,                      1,                 1.0899,             0.00036163,             0.00036163,             0.00036163
                     48,                0.14627,                    0.5,                      1,                 1.0888,             0.00036269,             0.00036269,             0.00036269
                     49,                0.14387,                    0.5,                      1,                 1.0888,             0.00036347,             0.00036347,             0.00036347
                     50,                0.11149,                    0.5,                      1,                 1.0881,             0.00036396,             0.00036396,             0.00036396
                     51,                0.14238,                    0.5,                      1,                 1.0881,             0.00036057,             0.00036057,             0.00036057
                     52,                 0.1772,                    0.5,                      1,                 1.0913,              0.0003535,              0.0003535,              0.0003535
                     53,                0.11116,                    0.5,                      1,                 1.0913,             0.00034643,             0.00034643,             0.00034643
                     54,                0.15314,                    0.5,                      1,                 1.0907,             0.00033936,             0.00033936,             0.00033936
                     55,                0.10123,                    0.5,                      1,                 1.0907,              0.0003323,              0.0003323,              0.0003323
                     56,                0.10965,                    0.5,                      1,                 1.0897,             0.00032523,             0.00032523,             0.00032523
                     57,                 0.1048,                    0.5,                      1,                 1.0897,             0.00031816,             0.00031816,             0.00031816
                     58,                0.17865,                    0.5,                      1,                 1.0847,             0.00031109,             0.00031109,             0.00031109
                     59,                0.08841,                    0.5,                      1,                 1.0847,             0.00030402,             0.00030402,             0.00030402
                     60,                0.09994,                    0.5,                      1,                 1.0846,             0.00029695,             0.00029695,             0.00029695
                     61,                0.06186,                    0.5,                      1,                 1.0846,             0.00028988,             0.00028988,             0.00028988
                     62,                0.12069,                    0.5,                      1,                 1.0846,             0.00028282,             0.00028282,             0.00028282
                     63,                0.15069,                    0.5,                      1,                 1.0846,             0.00027575,             0.00027575,             0.00027575
                     64,                0.06615,                    0.5,                      1,                 1.0895,             0.00026868,             0.00026868,             0.00026868
                     65,                0.04976,                    0.5,                      1,                 1.0895,             0.00026161,             0.00026161,             0.00026161
                     66,                0.05152,                    0.5,                      1,                 1.0928,             0.00025454,             0.00025454,             0.00025454
                     67,                0.10693,                    0.5,                      1,                 1.0928,             0.00024747,             0.00024747,             0.00024747
                     68,                0.04946,                    0.5,                      1,                 1.0871,              0.0002404,              0.0002404,              0.0002404
                     69,                0.06628,                    0.5,                      1,                 1.0871,             0.00023334,             0.00023334,             0.00023334
                     70,                0.04575,                    0.5,                      1,                 1.0891,             0.00022627,             0.00022627,             0.00022627
                     71,                0.10361,                    0.5,                      1,                 1.0891,              0.0002192,              0.0002192,              0.0002192
                     72,                 0.0722,                    0.5,                      1,                 1.0981,             0.00021213,             0.00021213,             0.00021213
                     73,                0.08817,                    0.5,                      1,                 1.0981,             0.00020506,             0.00020506,             0.00020506
                     74,                 0.0569,                    0.5,                      1,                 1.0898,             0.00019799,             0.00019799,             0.00019799
                     75,                0.06533,                    0.5,                      1,                 1.0898,             0.00019092,             0.00019092,             0.00019092
                     76,                 0.0565,                    0.5,                      1,                 1.0884,             0.00018385,             0.00018385,             0.00018385
                     77,                0.02944,                    0.5,                      1,                 1.0884,             0.00017679,             0.00017679,             0.00017679
                     78,                0.08466,                    0.5,                      1,                 1.0899,             0.00016972,             0.00016972,             0.00016972
                     79,                0.06131,                    0.5,                      1,                 1.0899,             0.00016265,             0.00016265,             0.00016265
                     80,                0.05186,                    0.5,                      1,                 1.0919,             0.00015558,             0.00015558,             0.00015558
                     81,                0.02612,                    0.5,                      1,                 1.0919,             0.00014851,             0.00014851,             0.00014851
                     82,                0.05306,                    0.5,                      1,                  1.095,             0.00014144,             0.00014144,             0.00014144
                     83,                0.03553,                    0.5,                      1,                  1.095,             0.00013437,             0.00013437,             0.00013437
                     84,                0.04977,                    0.5,                      1,                 1.0977,             0.00012731,             0.00012731,             0.00012731
                     85,                0.09773,                    0.5,                      1,                 1.0977,             0.00012024,             0.00012024,             0.00012024
                     86,                0.03345,                    0.5,                      1,                 1.0983,             0.00011317,             0.00011317,             0.00011317
                     87,                0.02813,                    0.5,                      1,                 1.0983,              0.0001061,              0.0001061,              0.0001061
                     88,                0.04971,                    0.5,                      1,                 1.0964,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.04063,                    0.5,                      1,                 1.0964,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.09172,                    0.5,                      1,                 1.0948,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.07946,                    0.5,                      1,                 1.0948,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.07469,                    0.5,                      1,                 1.0923,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.03167,                    0.5,                      1,                 1.0923,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.03918,                    0.5,                      1,                 1.1022,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.02937,                    0.5,                      1,                 1.1022,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.05715,                    0.5,                      1,                 1.1041,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.04398,                    0.5,                      1,                 1.1041,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.03206,                    0.5,                      1,                 1.1056,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.03658,                    0.5,                      1,                 1.1056,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.03056,                    0.5,                      1,                 1.1037,             1.4209e-05,             1.4209e-05,             1.4209e-05
