                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7776,                    0.5,                      1,                0.69208,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                0.63099,                   0.25,                      1,                  0.701,             2.1208e-05,             2.1208e-05,             2.1208e-05
                      3,                0.74335,                   0.25,                      1,                0.70707,             3.4993e-05,             3.4993e-05,             3.4993e-05
                      4,                0.67437,                   0.25,                      1,                 0.7164,             4.8496e-05,             4.8496e-05,             4.8496e-05
                      5,                0.66093,                    0.5,                      1,                0.71739,             6.1715e-05,             6.1715e-05,             6.1715e-05
                      6,                0.64698,                    0.5,                      1,                0.71745,             7.4652e-05,             7.4652e-05,             7.4652e-05
                      7,                0.68104,                    0.5,                      1,                0.71838,             8.7306e-05,             8.7306e-05,             8.7306e-05
                      8,                0.67066,                    0.5,                      1,                 0.7105,             9.9678e-05,             9.9678e-05,             9.9678e-05
                      9,                0.65705,                    0.5,                      1,                0.70666,             0.00011177,             0.00011177,             0.00011177
                     10,                0.63693,                    0.5,                      1,                0.70173,             0.00012357,             0.00012357,             0.00012357
                     11,                0.60149,                    0.5,                      1,                0.69971,              0.0001351,              0.0001351,              0.0001351
                     12,                0.57358,                    0.5,                      1,                0.69288,             0.00014634,             0.00014634,             0.00014634
                     13,                0.64816,                   0.75,                      1,                0.68773,             0.00015729,             0.00015729,             0.00015729
                     14,                 0.6245,                   0.75,                      1,                0.67811,             0.00016797,             0.00016797,             0.00016797
                     15,                0.50798,                   0.75,                      1,                0.67472,             0.00017836,             0.00017836,             0.00017836
                     16,                 0.5389,                   0.75,                      1,                0.66221,             0.00018847,             0.00018847,             0.00018847
                     17,                 0.4759,                   0.75,                      1,                0.64906,              0.0001983,              0.0001983,              0.0001983
                     18,                0.51778,                   0.75,                      1,                0.63733,             0.00020784,             0.00020784,             0.00020784
                     19,                 0.4482,                   0.75,                      1,                0.62217,              0.0002171,              0.0002171,              0.0002171
                     20,                0.48662,                   0.75,                      1,                0.60552,             0.00022608,             0.00022608,             0.00022608
                     21,                0.48547,                   0.75,                      1,                0.59951,             0.00023478,             0.00023478,             0.00023478
                     22,                0.41204,                   0.75,                      1,                 0.5817,             0.00024319,             0.00024319,             0.00024319
                     23,                0.43272,                   0.75,                      1,                0.55917,             0.00025132,             0.00025132,             0.00025132
                     24,                0.33663,                   0.75,                      1,                0.53997,             0.00025917,             0.00025917,             0.00025917
                     25,                 0.4617,                   0.75,                      1,                0.52981,             0.00026673,             0.00026673,             0.00026673
                     26,                0.43414,                   0.75,                      1,                0.51669,             0.00027402,             0.00027402,             0.00027402
                     27,                 0.3257,                      1,                      1,                0.50542,             0.00028101,             0.00028101,             0.00028101
                     28,                0.33408,                      1,                      1,                0.50542,             0.00028773,             0.00028773,             0.00028773
                     29,                0.32808,                      1,                      1,                0.48231,             0.00029417,             0.00029417,             0.00029417
                     30,                0.33951,                      1,                      1,                0.47073,             0.00030032,             0.00030032,             0.00030032
                     31,                 0.3176,                      1,                      1,                0.47073,             0.00030618,             0.00030618,             0.00030618
                     32,                0.24879,                      1,                      1,                0.45686,             0.00031177,             0.00031177,             0.00031177
                     33,                0.29059,                      1,                      1,                0.43544,             0.00031707,             0.00031707,             0.00031707
                     34,                0.31729,                      1,                      1,                0.43544,             0.00032209,             0.00032209,             0.00032209
                     35,                 0.2937,                      1,                      1,                0.41558,             0.00032683,             0.00032683,             0.00032683
                     36,                0.19748,                      1,                      1,                0.40143,             0.00033129,             0.00033129,             0.00033129
                     37,                0.25007,                      1,                      1,                0.40143,             0.00033546,             0.00033546,             0.00033546
                     38,                0.16097,                      1,                      1,                  0.388,             0.00033935,             0.00033935,             0.00033935
                     39,                0.24397,                      1,                      1,                0.37807,             0.00034295,             0.00034295,             0.00034295
                     40,                0.19951,                      1,                      1,                0.37807,             0.00034628,             0.00034628,             0.00034628
                     41,                 0.4656,                      1,                      1,                0.36524,             0.00034932,             0.00034932,             0.00034932
                     42,                0.46732,                      1,                      1,                0.35886,             0.00035208,             0.00035208,             0.00035208
                     43,                0.40777,                      1,                      1,                0.35886,             0.00035455,             0.00035455,             0.00035455
                     44,                0.19437,                      1,                      1,                0.35171,             0.00035674,             0.00035674,             0.00035674
                     45,                0.21533,                      1,                      1,                0.35171,             0.00035865,             0.00035865,             0.00035865
                     46,                0.16369,                      1,                      1,                0.34235,             0.00036028,             0.00036028,             0.00036028
                     47,                0.15934,                      1,                      1,                0.34235,             0.00036163,             0.00036163,             0.00036163
                     48,                0.13662,                      1,                      1,                0.33639,             0.00036269,             0.00036269,             0.00036269
                     49,                0.11849,                      1,                      1,                0.33639,             0.00036347,             0.00036347,             0.00036347
                     50,                0.15913,                      1,                      1,                0.32992,             0.00036396,             0.00036396,             0.00036396
                     51,                0.15554,                      1,                      1,                0.32992,             0.00036057,             0.00036057,             0.00036057
                     52,                0.17372,                      1,                      1,                0.32606,              0.0003535,              0.0003535,              0.0003535
                     53,                0.33912,                      1,                      1,                0.32606,             0.00034643,             0.00034643,             0.00034643
                     54,                0.15647,                      1,                      1,                0.32434,             0.00033936,             0.00033936,             0.00033936
                     55,                0.09522,                      1,                      1,                0.32434,              0.0003323,              0.0003323,              0.0003323
                     56,                0.10482,                      1,                      1,                0.32325,             0.00032523,             0.00032523,             0.00032523
                     57,                0.11385,                      1,                      1,                0.32325,             0.00031816,             0.00031816,             0.00031816
                     58,                 0.1116,                      1,                      1,                0.32204,             0.00031109,             0.00031109,             0.00031109
                     59,                0.05245,                      1,                      1,                0.32204,             0.00030402,             0.00030402,             0.00030402
                     60,                0.06424,                      1,                      1,                0.32193,             0.00029695,             0.00029695,             0.00029695
