                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.458,                   0.25,                      1,                 1.3908,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                 1.4833,                   0.25,                      1,                 1.3825,             3.5347e-05,             3.5347e-05,             3.5347e-05
                      3,                  1.391,                   0.25,                      1,                 1.3742,             5.5989e-05,             5.5989e-05,             5.5989e-05
                      4,                 1.3765,                  0.375,                      1,                 1.3616,             7.6207e-05,             7.6207e-05,             7.6207e-05
                      5,                 1.3586,                  0.375,                      1,                 1.3458,             9.6002e-05,             9.6002e-05,             9.6002e-05
                      6,                 1.2509,                  0.625,                      1,                 1.3352,             0.00011537,             0.00011537,             0.00011537
                      7,                 1.3604,                  0.625,                      1,                 1.3217,             0.00013432,             0.00013432,             0.00013432
                      8,                 1.2852,                   0.75,                      1,                  1.312,             0.00015284,             0.00015284,             0.00015284
                      9,                 1.2192,                   0.75,                      1,                 1.2923,             0.00017094,             0.00017094,             0.00017094
                     10,                 1.1621,                   0.75,                      1,                 1.2788,             0.00018861,             0.00018861,             0.00018861
                     11,                 1.1621,                   0.75,                      1,                 1.2506,             0.00020586,             0.00020586,             0.00020586
                     12,                   1.11,                  0.875,                      1,                 1.2365,             0.00022269,             0.00022269,             0.00022269
                     13,                 1.0073,                  0.875,                      1,                 1.1998,             0.00023909,             0.00023909,             0.00023909
                     14,                 1.0226,                  0.875,                      1,                 1.1817,             0.00025506,             0.00025506,             0.00025506
                     15,                0.94333,                  0.875,                      1,                 1.1437,             0.00027062,             0.00027062,             0.00027062
                     16,                0.82934,                  0.875,                      1,                 1.1232,             0.00028575,             0.00028575,             0.00028575
                     17,                0.84177,                  0.875,                      1,                  1.081,             0.00030045,             0.00030045,             0.00030045
                     18,                0.80187,                  0.875,                      1,                 1.0536,             0.00031473,             0.00031473,             0.00031473
                     19,                0.91194,                  0.875,                      1,                 1.0306,             0.00032859,             0.00032859,             0.00032859
                     20,                0.69593,                  0.875,                      1,                 1.0082,             0.00034202,             0.00034202,             0.00034202
                     21,                0.69585,                  0.875,                      1,                0.98615,             0.00035503,             0.00035503,             0.00035503
                     22,                0.66314,                  0.875,                      1,                 0.9669,             0.00036761,             0.00036761,             0.00036761
                     23,                 0.6117,                  0.875,                      1,                0.94801,             0.00037977,             0.00037977,             0.00037977
                     24,                0.54799,                  0.875,                      1,                 0.9293,             0.00039151,             0.00039151,             0.00039151
                     25,                0.48914,                  0.875,                      1,                0.91135,             0.00040282,             0.00040282,             0.00040282
                     26,                0.45028,                  0.875,                      1,                0.89359,             0.00041371,             0.00041371,             0.00041371
                     27,                0.45171,                      1,                      1,                0.87647,             0.00042417,             0.00042417,             0.00042417
                     28,                0.40248,                      1,                      1,                0.86295,             0.00043421,             0.00043421,             0.00043421
                     29,                 0.3119,                      1,                      1,                0.86295,             0.00044383,             0.00044383,             0.00044383
                     30,                0.35873,                      1,                      1,                0.85401,             0.00045302,             0.00045302,             0.00045302
                     31,                0.26615,                      1,                      1,                 0.8422,             0.00046179,             0.00046179,             0.00046179
                     32,                0.41654,                      1,                      1,                0.83597,             0.00047013,             0.00047013,             0.00047013
                     33,                0.45253,                      1,                      1,                0.83597,             0.00047805,             0.00047805,             0.00047805
                     34,                 0.4001,                      1,                      1,                0.81901,             0.00048074,             0.00048074,             0.00048074
                     35,                 0.1788,                      1,                      1,                0.80652,             0.00047367,             0.00047367,             0.00047367
                     36,                0.17375,                      1,                      1,                0.79657,              0.0004666,              0.0004666,              0.0004666
                     37,                0.22664,                      1,                      1,                0.79657,             0.00045953,             0.00045953,             0.00045953
                     38,                0.18718,                      1,                      1,                0.78396,             0.00045246,             0.00045246,             0.00045246
                     39,                0.24168,                      1,                      1,                 0.7798,             0.00044539,             0.00044539,             0.00044539
                     40,                0.11774,                      1,                      1,                0.77346,             0.00043832,             0.00043832,             0.00043832
                     41,                0.24841,                      1,                      1,                0.77346,             0.00043126,             0.00043126,             0.00043126
                     42,                0.19722,                      1,                      1,                0.76765,             0.00042419,             0.00042419,             0.00042419
                     43,                0.16103,                      1,                      1,                 0.7647,             0.00041712,             0.00041712,             0.00041712
                     44,                0.08283,                      1,                      1,                0.75981,             0.00041005,             0.00041005,             0.00041005
                     45,                0.31016,                      1,                      1,                0.75981,             0.00040298,             0.00040298,             0.00040298
                     46,                0.14246,                      1,                      1,                0.75835,             0.00039591,             0.00039591,             0.00039591
                     47,                0.18346,                      1,                      1,                0.75549,             0.00038884,             0.00038884,             0.00038884
                     48,                0.12738,                      1,                      1,                0.75393,             0.00038178,             0.00038178,             0.00038178
                     49,                0.17279,                      1,                      1,                0.75393,             0.00037471,             0.00037471,             0.00037471
                     50,                0.16995,                      1,                      1,                0.75354,             0.00036764,             0.00036764,             0.00036764
