                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0089,                 6.1798,                 1.4423,                      0,                      0,                      0,                      0,                 1.5222,                  5.958,                 1.0971,             9.6559e-05,             9.6559e-05,             9.6559e-05
                      2,                 1.6476,                  5.088,                 1.1993,                0.42154,                0.13178,                0.13587,                0.07684,                 1.5793,                 5.0549,                  1.215,             0.00019263,             0.00019263,             0.00019263
                      3,                  1.594,                 4.4853,                 1.1922,                 0.5459,                0.13975,                0.21014,                0.12349,                 1.5769,                 4.6082,                 1.2342,             0.00028677,             0.00028677,             0.00028677
                      4,                 1.5909,                 4.1715,                 1.2193,                0.34019,                0.31048,                0.26609,                0.15668,                 1.5544,                 4.3763,                 1.2599,             0.00028527,             0.00028527,             0.00028527
                      5,                  1.575,                 3.9008,                 1.2127,                0.42579,                0.27648,                0.32588,                0.18965,                 1.5954,                  4.062,                 1.3155,             0.00028236,             0.00028236,             0.00028236
                      6,                 1.5484,                 3.6642,                  1.229,                0.30689,                0.44854,                0.39777,                0.22575,                 1.5921,                 3.7877,                 1.2975,             0.00027945,             0.00027945,             0.00027945
                      7,                 1.5139,                 3.4456,                 1.1826,                0.37983,                0.38165,                0.44331,                  0.244,                 1.5848,                 3.6454,                  1.265,             0.00027654,             0.00027654,             0.00027654
                      8,                 1.5146,                 3.2549,                  1.181,                 0.6057,                0.44034,                0.50851,                0.26251,                 1.5861,                 3.3948,                 1.2876,             0.00027363,             0.00027363,             0.00027363
                      9,                 1.4794,                  3.021,                  1.178,                0.59454,                0.46657,                0.52684,                0.29143,                 1.5892,                 3.3852,                 1.2792,             0.00027072,             0.00027072,             0.00027072
                     10,                 1.4825,                  2.875,                 1.1758,                0.46061,                0.56215,                0.53912,                0.28214,                 1.6301,                 3.1729,                 1.3258,              0.0002678,              0.0002678,              0.0002678
