                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.6923,                   42.6,                 4.0957,                      0,                      0,                      0,                      0,                 6.4028,                 17.929,                 4.1581,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 5.9002,                  27.49,                 3.9866,                      0,                      0,                      0,                      0,                 6.4024,                 17.955,                  4.157,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      3,                  6.051,                 29.111,                 4.4258,                      0,                      0,                      0,                      0,                 6.4019,                 17.961,                 4.1559,             0.00013072,             0.00013072,             0.00013072
                      4,                  5.214,                 26.597,                 3.4303,                      0,                      0,                      0,                      0,                 6.4016,                 17.978,                 4.1556,             0.00017792,             0.00017792,             0.00017792
                      5,                 5.9406,                  25.11,                 4.0794,                      0,                      0,                      0,                      0,                 6.4014,                 17.941,                 4.1559,             0.00022414,             0.00022414,             0.00022414
                      6,                 3.9824,                 24.889,                 2.7189,                      0,                      0,                      0,                      0,                 6.4015,                 17.864,                 4.1567,             0.00026936,             0.00026936,             0.00026936
                      7,                 5.7771,                 19.351,                  4.234,                      0,                      0,                      0,                      0,                 6.4019,                 17.697,                 4.1591,              0.0003136,              0.0003136,              0.0003136
                      8,                 5.8472,                 18.579,                 3.8762,                      0,                      0,                      0,                      0,                  6.402,                 17.622,                 4.1605,             0.00035684,             0.00035684,             0.00035684
                      9,                 4.1846,                 20.153,                 2.6631,                      0,                      0,                      0,                      0,                 6.4036,                 17.175,                 4.1672,             0.00039909,             0.00039909,             0.00039909
                     10,                 4.3243,                 14.991,                  3.201,                      0,                      0,                      0,                      0,                  6.406,                 16.948,                 4.1747,             0.00044036,             0.00044036,             0.00044036
                     11,                 4.4779,                 10.402,                 4.0198,                      0,                      0,                      0,                      0,                 6.4113,                 16.182,                 4.1909,             0.00048063,             0.00048063,             0.00048063
                     12,                 4.6455,                 14.631,                 3.7292,                      0,                      0,                      0,                      0,                 6.4145,                 15.699,                 4.2021,             0.00051991,             0.00051991,             0.00051991
                     13,                 4.4958,                 18.004,                  3.203,                      0,                      0,                      0,                      0,                 6.4112,                 15.013,                 4.1978,              0.0005582,              0.0005582,              0.0005582
                     14,                 4.0832,                 16.992,                 2.9499,                      0,                      0,                      0,                      0,                  6.406,                 14.876,                 4.1867,             0.00059551,             0.00059551,             0.00059551
                     15,                 4.1668,                 11.687,                 2.9956,                      0,                      0,                      0,                      0,                 6.4423,                 13.635,                 4.2743,             0.00063182,             0.00063182,             0.00063182
                     16,                 3.9579,                  13.31,                 2.6732,                      0,                      0,                      0,                      0,                 6.4659,                 12.298,                 4.3345,             0.00066714,             0.00066714,             0.00066714
                     17,                 4.6342,                 8.9828,                 3.2446,                      0,                      0,                      0,                      0,                 6.4871,                 11.187,                 4.3882,             0.00070147,             0.00070147,             0.00070147
                     18,                 5.3722,                 11.247,                 3.0458,                      0,                      0,                      0,                      0,                  6.464,                 11.497,                 4.3219,             0.00073482,             0.00073482,             0.00073482
                     19,                 5.1412,                 9.8549,                 3.0112,                      0,                      0,                      0,                      0,                 6.4287,                 11.828,                 4.2317,             0.00076717,             0.00076717,             0.00076717
                     20,                 4.5361,                 12.986,                 2.7206,                      0,                      0,                      0,                      0,                 6.4073,                 12.244,                 4.1823,             0.00079853,             0.00079853,             0.00079853
                     21,                 3.6338,                 8.4629,                 2.8725,                      0,                      0,                      0,                      0,                 6.3975,                 12.409,                 4.1596,              0.0008289,              0.0008289,              0.0008289
                     22,                 4.0791,                   7.66,                 2.9595,                      0,                      0,                      0,                      0,                 6.3769,                 12.183,                 4.1131,             0.00085828,             0.00085828,             0.00085828
                     23,                 4.1417,                 7.3434,                 3.0784,                      0,                      0,                      0,                      0,                 6.3486,                 11.486,                 4.0561,             0.00088667,             0.00088667,             0.00088667
                     24,                 3.8164,                 6.6243,                  2.639,                      0,                      0,                      0,                      0,                 6.4001,                 11.624,                 4.1521,             0.00091407,             0.00091407,             0.00091407
                     25,                 3.3826,                 5.6499,                 2.5082,                      0,                      0,                      0,                      0,                 6.4884,                 12.233,                  4.364,             0.00094048,             0.00094048,             0.00094048
                     26,                 4.8791,                 7.5039,                  2.982,                      0,                      0,                      0,                      0,                 6.5532,                 12.779,                 4.5721,              0.0009659,              0.0009659,              0.0009659
                     27,                 3.8026,                 5.3973,                 2.6385,                      0,                      0,                      0,                      0,                 6.5904,                 13.248,                 4.6834,             0.00099033,             0.00099033,             0.00099033
                     28,                 3.8379,                  5.985,                 2.4201,                      0,                      0,                      0,                      0,                 6.6018,                 13.296,                 4.6947,              0.0010138,              0.0010138,              0.0010138
                     29,                 3.6081,                 5.6763,                  2.213,                      0,                      0,                      0,                      0,                 6.6018,                 13.296,                 4.6947,              0.0010362,              0.0010362,              0.0010362
                     30,                 3.8552,                 5.7073,                  2.548,                      0,                      0,                      0,                      0,                 6.5969,                  13.03,                  4.667,              0.0010577,              0.0010577,              0.0010577
                     31,                 3.2293,                 4.6985,                 2.4539,                      0,                      0,                      0,                      0,                 6.5991,                  12.74,                 4.6803,              0.0010781,              0.0010781,              0.0010781
                     32,                 3.0224,                 4.4148,                 2.4601,                      0,                      0,                      0,                      0,                 6.6341,                 12.902,                 4.7798,              0.0010976,              0.0010976,              0.0010976
                     33,                 3.5718,                 5.4295,                 2.2344,                      0,                      0,                      0,                      0,                 6.6341,                 12.902,                 4.7798,              0.0011161,              0.0011161,              0.0011161
                     34,                 3.3435,                 5.0968,                 2.2506,                      0,                      0,                      0,                      0,                 6.6615,                 12.994,                 4.8481,              0.0011224,              0.0011224,              0.0011224
                     35,                  3.389,                 4.3161,                 2.2347,                      0,                      0,                      0,                      0,                 6.6549,                  13.19,                 4.8148,              0.0011224,              0.0011224,              0.0011224
                     36,                 3.1742,                 4.7617,                  2.039,                      0,                      0,                      0,                      0,                 6.5336,                 14.458,                 4.5879,              0.0011059,              0.0011059,              0.0011059
                     37,                 3.3519,                 4.8643,                 2.1399,                      0,                      0,                      0,                      0,                 6.5336,                 14.458,                 4.5879,              0.0010894,              0.0010894,              0.0010894
                     38,                 3.3729,                 5.2911,                 1.9192,                      0,                      0,                      0,                      0,                  5.658,                 12.683,                 4.0466,              0.0010729,              0.0010729,              0.0010729
                     39,                 3.5204,                 4.3577,                 2.4644,                0.00166,                   0.25,                0.00146,                0.00042,                 4.6845,                 9.2973,                 3.3889,              0.0010564,              0.0010564,              0.0010564
                     40,                 3.4585,                 4.7883,                 2.2662,                0.00162,                   0.25,                0.24791,                0.09925,                 3.9926,                 7.4065,                 2.9123,              0.0010399,              0.0010399,              0.0010399
                     41,                 2.8623,                 4.1651,                 1.8464,                0.00162,                   0.25,                0.24791,                0.09925,                 3.9926,                 7.4065,                 2.9123,              0.0010234,              0.0010234,              0.0010234
                     42,                 2.9689,                 4.1686,                  2.109,                 0.2048,                   0.25,                0.33078,                 0.1406,                 3.3016,                 5.3829,                  2.638,              0.0010069,              0.0010069,              0.0010069
                     43,                 3.5094,                 4.6028,                 2.0483,                 0.2923,                0.47169,                0.37198,                0.11658,                  3.728,                 5.2004,                 2.6716,             0.00099036,             0.00099036,             0.00099036
                     44,                  3.442,                 4.4355,                 1.9892,                0.54887,                    0.5,                0.49565,                 0.1413,                 3.5615,                 5.3901,                 2.7337,             0.00097386,             0.00097386,             0.00097386
                     45,                  2.879,                 4.0254,                 1.9661,                0.54887,                    0.5,                0.49565,                 0.1413,                 3.5615,                 5.3901,                 2.7337,             0.00095736,             0.00095736,             0.00095736
                     46,                 3.1962,                 4.6335,                 1.9911,                0.35086,                    0.5,                0.37184,                0.19831,                 3.4181,                 5.0622,                 3.0088,             0.00094085,             0.00094085,             0.00094085
                     47,                  3.748,                 8.0513,                 2.0566,                0.51036,                    0.5,                0.49556,                0.24782,                 3.1921,                  4.642,                 2.7337,             0.00092435,             0.00092435,             0.00092435
                     48,                 3.1667,                 3.7072,                 2.0487,                0.40912,                    0.5,                0.49554,                0.24783,                 3.0734,                 5.3427,                 2.4895,             0.00090785,             0.00090785,             0.00090785
                     49,                 2.9904,                 3.5891,                 2.0421,                0.40912,                    0.5,                0.49554,                0.24783,                 3.0734,                 5.3427,                 2.4895,             0.00089134,             0.00089134,             0.00089134
                     50,                 3.3559,                 4.0915,                 1.8867,                0.42584,                    0.5,                0.37661,                0.24306,                 2.7695,                 4.2908,                 2.3973,             0.00087484,             0.00087484,             0.00087484
                     51,                 2.7926,                 4.0549,                 1.8815,                0.32726,                    0.5,                0.50257,                0.24318,                 2.6933,                 3.8965,                 2.3071,             0.00085834,             0.00085834,             0.00085834
                     52,                 2.9934,                 4.4041,                 1.9065,                0.48466,                    0.5,                 0.4998,                0.19867,                 3.1505,                 3.9543,                 2.3885,             0.00084184,             0.00084184,             0.00084184
                     53,                 3.5737,                 4.8158,                 2.3624,                0.48466,                    0.5,                 0.4998,                0.19867,                 3.1505,                 3.9543,                 2.3885,             0.00082533,             0.00082533,             0.00082533
                     54,                 3.2191,                 4.2951,                 1.9466,                0.49984,                    0.5,                0.49665,                0.19837,                 3.1718,                 4.2923,                 2.3422,             0.00080883,             0.00080883,             0.00080883
                     55,                 3.3159,                 3.8784,                 2.0468,                0.43293,                    0.5,                0.49564,                0.22304,                 3.0967,                 4.1653,                 2.2574,             0.00079233,             0.00079233,             0.00079233
                     56,                 3.1133,                 3.7388,                 2.0836,                0.71856,                    0.5,                0.49656,                0.24799,                 3.0765,                 4.3175,                 2.4054,             0.00077582,             0.00077582,             0.00077582
                     57,                 2.7589,                 3.3514,                 1.7129,                0.71856,                    0.5,                0.49656,                0.24799,                 3.0765,                 4.3175,                 2.4054,             0.00075932,             0.00075932,             0.00075932
                     58,                 2.6042,                 3.2032,                 1.7992,                0.56265,                    0.5,                0.50384,                0.30095,                 2.8373,                 4.1432,                 2.2171,             0.00074282,             0.00074282,             0.00074282
                     59,                 2.5744,                 3.0856,                 1.6699,                 0.6811,                    0.5,                0.53625,                0.30138,                 2.3883,                 4.1997,                 2.0489,             0.00072631,             0.00072631,             0.00072631
                     60,                 2.7819,                 3.2659,                 1.8066,                0.72576,                    0.5,                0.62833,                0.36151,                 2.1898,                 4.4702,                  1.999,             0.00070981,             0.00070981,             0.00070981
                     61,                 2.5574,                 3.3563,                 1.5733,                0.72576,                    0.5,                0.62833,                0.36151,                 2.1898,                 4.4702,                  1.999,             0.00069331,             0.00069331,             0.00069331
                     62,                 2.8413,                 3.6239,                 1.9524,                0.60353,                    0.5,                0.63515,                0.31413,                 2.2154,                 4.5113,                 1.9453,              0.0006768,              0.0006768,              0.0006768
                     63,                 2.8459,                 2.8785,                 1.9806,                0.57573,                    0.5,                 0.6825,                0.29525,                 2.4212,                 3.9494,                 2.0394,              0.0006603,              0.0006603,              0.0006603
                     64,                  2.907,                 3.8381,                 1.9411,                 0.5511,                0.70252,                0.76583,                0.26953,                 2.5499,                 4.6499,                 2.0193,              0.0006438,              0.0006438,              0.0006438
                     65,                 3.3668,                 4.6038,                 1.8039,                 0.5511,                0.70252,                0.76583,                0.26953,                 2.5499,                 4.6499,                 2.0193,             0.00062729,             0.00062729,             0.00062729
                     66,                 2.6916,                  3.161,                 1.6634,                0.12547,                0.72365,                 0.1455,                0.05575,                 2.5665,                 7.0902,                 2.0061,             0.00061079,             0.00061079,             0.00061079
                     67,                 2.8232,                 3.1085,                 1.7083,                0.11487,                   0.75,                0.10553,                0.04671,                 2.4081,                  7.568,                 1.9282,             0.00059429,             0.00059429,             0.00059429
                     68,                 2.6865,                 3.0944,                 1.6479,                0.16518,                   0.75,                0.15932,                0.07015,                 2.5374,                 5.4226,                 1.8507,             0.00057778,             0.00057778,             0.00057778
                     69,                 2.6812,                 3.2208,                 1.8171,                0.16518,                   0.75,                0.15932,                0.07015,                 2.5374,                 5.4226,                 1.8507,             0.00056128,             0.00056128,             0.00056128
                     70,                  2.749,                 3.7809,                 1.7039,                0.63255,                   0.75,                0.62205,                0.28541,                 2.6392,                 4.0541,                 1.9417,             0.00054478,             0.00054478,             0.00054478
                     71,                 2.6092,                 3.1229,                   1.74,                 0.5788,                0.69758,                0.62228,                0.23599,                 2.5439,                 3.8504,                 1.8746,             0.00052827,             0.00052827,             0.00052827
                     72,                 2.5421,                 2.9944,                 1.6686,                0.69583,                    0.5,                0.62286,                0.24874,                 2.4612,                 3.5664,                 1.8135,             0.00051177,             0.00051177,             0.00051177
                     73,                 2.4272,                 3.6133,                 2.1165,                0.69583,                    0.5,                0.62286,                0.24874,                 2.4612,                 3.5664,                 1.8135,             0.00049527,             0.00049527,             0.00049527
                     74,                 2.4791,                 3.4666,                 1.8127,                0.27389,                0.69615,                 0.6241,                0.27222,                 2.4451,                 3.3845,                 1.7747,             0.00047876,             0.00047876,             0.00047876
                     75,                  2.847,                 3.2924,                 1.7344,                0.79673,                   0.25,                0.58485,                0.24058,                 2.4575,                 3.3993,                 1.8265,             0.00046226,             0.00046226,             0.00046226
                     76,                 2.6797,                 2.9249,                 1.5759,                 0.8215,                   0.25,                0.50568,                0.20462,                 2.4504,                 3.4099,                 1.8964,             0.00044576,             0.00044576,             0.00044576
                     77,                 2.5405,                 2.9369,                 1.8458,                 0.8215,                   0.25,                0.50568,                0.20462,                 2.4504,                 3.4099,                 1.8964,             0.00042925,             0.00042925,             0.00042925
                     78,                 2.6966,                  3.211,                 1.8195,                0.83838,                   0.25,                 0.4181,                0.16646,                 2.3957,                 3.3574,                 1.9318,             0.00041275,             0.00041275,             0.00041275
                     79,                 2.3929,                 2.7806,                 1.7318,                 0.7839,                   0.25,                0.41951,                0.16473,                 2.2599,                 3.4907,                 1.8969,             0.00039625,             0.00039625,             0.00039625
                     80,                 2.5462,                 2.9811,                 1.5565,                0.34252,                    0.5,                0.44849,                0.20774,                  2.024,                 3.6147,                 1.8069,             0.00037974,             0.00037974,             0.00037974
                     81,                 2.5705,                 2.8709,                 1.7139,                0.34252,                    0.5,                0.44849,                0.20774,                  2.024,                 3.6147,                 1.8069,             0.00036324,             0.00036324,             0.00036324
                     82,                 2.2957,                 2.5768,                 1.5078,                0.28804,                    0.5,                0.33209,                0.17921,                 1.9567,                 3.5646,                 1.7524,             0.00034674,             0.00034674,             0.00034674
                     83,                 2.2751,                 3.1456,                 2.0945,                0.27196,                    0.5,                0.31794,                0.16553,                 1.8973,                 3.4018,                 1.7039,             0.00033023,             0.00033023,             0.00033023
                     84,                 2.4285,                 2.8519,                 1.8143,                0.37898,                    0.5,                0.39111,                0.19349,                 1.9483,                 3.4797,                 1.7467,             0.00031373,             0.00031373,             0.00031373
                     85,                 2.6399,                 2.5638,                 1.7008,                0.37898,                    0.5,                0.39111,                0.19349,                 1.9483,                 3.4797,                 1.7467,             0.00029723,             0.00029723,             0.00029723
                     86,                 2.3887,                 2.6341,                 1.5056,                0.41519,                0.43266,                0.38134,                0.18241,                 2.0711,                 3.4637,                 1.7727,             0.00028072,             0.00028072,             0.00028072
                     87,                 2.8456,                 2.8015,                 1.7969,                0.35664,                0.30577,                0.38318,                0.18484,                 2.1418,                 3.4396,                 1.7904,             0.00026422,             0.00026422,             0.00026422
                     88,                  2.494,                 2.8426,                 1.5863,                0.31364,                   0.25,                0.39579,                0.18977,                  2.085,                 3.5118,                 1.7622,             0.00024772,             0.00024772,             0.00024772
                     89,                 2.5913,                 2.8463,                 1.6312,                0.31364,                   0.25,                0.39579,                0.18977,                  2.085,                 3.5118,                 1.7622,             0.00023121,             0.00023121,             0.00023121
                     90,                 2.2894,                 2.4667,                 1.7292,                0.47565,                    0.5,                0.44576,                0.21059,                 2.0917,                 3.4779,                 1.7838,             0.00021471,             0.00021471,             0.00021471
                     91,                 2.4143,                 3.0678,                 1.7889,                0.48483,                    0.5,                0.47248,                0.21133,                 2.1976,                 3.3433,                 1.8412,             0.00019821,             0.00019821,             0.00019821
                     92,                 2.3363,                 3.0964,                 1.7377,                0.51158,                    0.5,                0.53896,                0.26283,                 2.3445,                 3.2249,                 1.9187,              0.0001817,              0.0001817,              0.0001817
                     93,                 2.5271,                 2.9378,                 1.8474,                0.51158,                    0.5,                0.53896,                0.26283,                 2.3445,                 3.2249,                 1.9187,              0.0001652,              0.0001652,              0.0001652
                     94,                 2.4417,                  3.092,                 1.8511,                0.48703,                    0.5,                0.67729,                 0.2962,                 2.4312,                 3.1631,                 1.9721,              0.0001487,              0.0001487,              0.0001487
                     95,                 2.4026,                 2.7646,                 1.8816,                0.41718,                    0.5,                0.66192,                0.27739,                 2.5318,                 3.2385,                 2.0064,             0.00013219,             0.00013219,             0.00013219
                     96,                 2.5361,                 3.0937,                 1.7322,                 0.4508,                 0.6076,                0.66191,                0.27738,                 2.5573,                 3.2651,                 2.0198,             0.00011569,             0.00011569,             0.00011569
                     97,                 2.3446,                 2.9009,                 1.8025,                 0.4508,                 0.6076,                0.66191,                0.27738,                 2.5573,                 3.2651,                 2.0198,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 2.2204,                 2.6764,                 1.7693,                0.47662,                0.69518,                0.49761,                0.24618,                  2.541,                 3.2648,                 2.0162,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 2.3696,                 3.2154,                 1.9089,                0.46508,                   0.75,                0.53894,                0.25457,                 2.5273,                 3.2401,                 2.0139,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 2.6416,                 3.0758,                 1.7277,                 0.3884,                   0.75,                0.66271,                0.28785,                 2.5014,                 3.1942,                 2.0079,             4.9677e-05,             4.9677e-05,             4.9677e-05
